spike_factor,avg_period,proximity,symbols_total,symbols_positive,positive_symbol_pct
1.6,50,0.002,6,6,100.0
1.6,10,0.001,6,6,100.0
1.6,10,0.005,6,6,100.0
1.6,10,0.002,6,6,100.0
1.8,10,0.001,6,6,100.0
1.6,50,0.005,6,6,100.0
1.8,10,0.002,6,6,100.0
1.8,10,0.005,6,6,100.0
1.6,50,0.001,6,6,100.0
1.6,20,0.005,6,6,100.0
1.6,20,0.002,6,6,100.0
1.6,20,0.001,6,6,100.0
1.8,20,0.005,6,3,50.0
1.8,20,0.002,6,3,50.0
1.8,20,0.001,6,3,50.0
1.4,20,0.001,6,3,50.0
1.4,20,0.005,6,3,50.0
1.4,20,0.002,6,3,50.0
1.4,10,0.001,6,2,33.33333333333333
1.4,10,0.002,6,2,33.33333333333333
1.4,10,0.005,6,2,33.33333333333333
1.4,50,0.002,6,2,33.33333333333333
1.4,50,0.005,6,2,33.33333333333333
1.4,50,0.001,6,2,33.33333333333333
1.8,50,0.001,6,0,0.0
1.8,50,0.002,6,0,0.0
1.8,50,0.005,6,0,0.0
2.0,10,0.001,6,0,0.0
2.0,10,0.002,6,0,0.0
2.0,10,0.005,6,0,0.0
2.0,20,0.001,6,0,0.0
2.0,20,0.002,6,0,0.0
2.0,20,0.005,6,0,0.0
2.0,50,0.001,6,0,0.0
2.0,50,0.002,6,0,0.0
2.0,50,0.005,6,0,0.0
