entry_price,exit_price,entry_price_effective,exit_price_effective,entry_fee,exit_fee,gross_pnl,net_pnl,exit_reason,entry_index,exit_index,ema_gc,vol_spike,above_vwap,trend_ok,session_ok,vol_mult,close,volume,is_breakout
0.04024,0.03989,0.04024,0.03989,0.0,0.0,-0.1739562624254454,-0.1739562624254454,SL,2025-11-01 03:40:00,2025-11-01 03:45:00,True,True,True,True,True,1.155522258236126,0.04024,69094766.0,True
0.0401,0.04096,0.0401,0.04096,0.0,0.0,0.4288530661418059,0.4288530661418059,TP,2025-11-01 18:25:00,2025-11-01 18:40:00,True,True,True,True,True,1.8465520524859613,0.0401,21918138.0,True
0.03983,0.04078,0.03983,0.04078,0.0,0.0,0.47714895905776045,0.47714895905776045,TP,2025-11-01 20:00:00,2025-11-01 20:20:00,True,True,True,True,True,2.303609786068209,0.03983,22316282.0,True
0.03897,0.03867,0.03897,0.03867,0.0,0.0,-0.1540772972690926,-0.1540772972690926,SL,2025-11-01 23:00:00,2025-11-01 23:15:00,True,True,True,True,True,2.307509577971245,0.03897,14045242.0,True
0.03883,0.03856,0.03883,0.03856,0.0,0.0,-0.13914810789888887,-0.13914810789888887,SL,2025-11-02 00:25:00,2025-11-02 00:35:00,True,True,True,True,True,2.0794509055249764,0.03883,15471331.0,True
0.03911,0.03873,0.03911,0.03873,0.0,0.0,-0.19440897557447648,-0.19440897557447648,SL,2025-11-02 01:55:00,2025-11-02 02:00:00,True,True,True,True,True,1.6548626859017126,0.03911,10225682.0,True
0.0329,0.03263,0.0329,0.03263,0.0,0.0,-0.16417385475571306,-0.16417385475571306,SL,2025-11-03 00:50:00,2025-11-03 00:55:00,True,True,True,True,True,1.3704731010575548,0.0329,5570377.0,True
0.03243,0.03225,0.03243,0.03225,0.0,0.0,-0.11101723265797674,-0.11101723265797674,SL,2025-11-03 11:10:00,2025-11-03 11:15:00,True,True,True,True,True,1.4236555453834547,0.03243,7774605.0,True
0.03082,0.03066,0.03082,0.03066,0.0,0.0,-0.10382548685732594,-0.10382548685732594,SL,2025-11-04 12:00:00,2025-11-04 12:05:00,True,True,True,True,True,1.798840692668722,0.03082,4417396.0,True
0.03226,0.03188,0.03226,0.03188,0.0,0.0,-0.2355541537674814,-0.2355541537674814,SL,2025-11-04 16:50:00,2025-11-04 16:55:00,True,True,True,True,True,1.23181891498368,0.03226,7327691.0,True
0.03107,0.03229,0.03107,0.03229,0.0,0.0,0.7850327683282076,0.7850327683282076,TP,2025-11-04 19:40:00,2025-11-04 19:50:00,True,True,True,True,True,3.2458769753887866,0.03107,13878836.0,True
0.031,0.03078,0.031,0.03078,0.0,0.0,-0.14199436913091104,-0.14199436913091104,SL,2025-11-05 00:35:00,2025-11-05 00:40:00,True,True,True,True,True,1.0990852259642596,0.031,3467299.0,True
0.03164,0.03157,0.03164,0.03157,0.0,0.0,-0.04425986190500881,-0.04425986190500881,SL,2025-11-05 22:05:00,2025-11-05 22:20:00,True,True,True,True,True,4.633213720805008,0.03164,4405482.0,True
0.03169,0.03146,0.03169,0.03146,0.0,0.0,-0.1451893861874387,-0.1451893861874387,SL,2025-11-06 00:30:00,2025-11-06 00:35:00,True,True,True,True,True,1.509238641094405,0.03169,1870653.0,True
0.03488,0.03561,0.03488,0.03561,0.0,0.0,0.41861290353080444,0.41861290353080444,TP,2025-11-07 01:55:00,2025-11-07 02:25:00,True,True,True,True,True,1.0568136648633137,0.03488,8013334.0,True
0.03769,0.03701,0.03769,0.03701,0.0,0.0,-0.3610195749757854,-0.3610195749757854,SL,2025-11-07 15:05:00,2025-11-07 15:10:00,True,True,True,True,True,1.268690887041164,0.03769,11512764.0,True
0.03654,0.03637,0.03654,0.03637,0.0,0.0,-0.09306183575956457,-0.09306183575956457,SL,2025-11-09 05:55:00,2025-11-09 06:10:00,True,True,True,True,True,1.3320796628478404,0.03654,1313304.0,True
0.03504,0.03482,0.03504,0.03482,0.0,0.0,-0.12557679879311726,-0.12557679879311726,SL,2025-11-10 01:15:00,2025-11-10 01:20:00,True,True,True,True,True,6.421772677488434,0.03504,3928391.0,True
0.03482,0.03468,0.03482,0.03468,0.0,0.0,-0.08040731408952807,-0.08040731408952807,SL,2025-11-10 09:35:00,2025-11-10 09:40:00,True,True,True,True,True,1.514218024610944,0.03482,829927.0,True
0.035,0.03491,0.035,0.03491,0.0,0.0,-0.051420444540947255,-0.051420444540947255,SL,2025-11-10 10:30:00,2025-11-10 10:35:00,True,True,True,True,True,2.313796005073077,0.035,954147.0,True
0.03825,0.03936,0.03825,0.03936,0.0,0.0,0.580270597637606,0.580270597637606,TP,2025-11-10 14:15:00,2025-11-10 14:25:00,True,True,True,True,True,3.45275817063101,0.03825,6481345.0,True
0.03833,0.03799,0.03833,0.03799,0.0,0.0,-0.17747251828591523,-0.17747251828591523,SL,2025-11-11 00:15:00,2025-11-11 00:20:00,True,True,True,True,True,1.9028353451595106,0.03833,1198439.0,True
0.04155,0.04241,0.04155,0.04241,0.0,0.0,0.4140391264236117,0.4140391264236117,TP,2025-11-11 04:35:00,2025-11-11 04:40:00,True,True,True,True,True,0.8467232537223107,0.04155,11538570.0,True
0.04187,0.04171,0.04187,0.04171,0.0,0.0,-0.07647345738304259,-0.07647345738304259,SL,2025-11-11 05:15:00,2025-11-11 05:20:00,True,True,True,True,True,1.376293001942282,0.04187,29481485.0,True
0.03622,0.03608,0.03622,0.03608,0.0,0.0,-0.07734639915430258,-0.07734639915430258,SL,2025-11-12 01:00:00,2025-11-12 01:35:00,True,True,True,True,True,4.611907834733666,0.03622,3764675.0,True
0.03346,0.03328,0.03346,0.03328,0.0,0.0,-0.10763995417582013,-0.10763995417582013,SL,2025-11-13 00:05:00,2025-11-13 00:35:00,True,True,True,True,True,1.283122528629891,0.03346,649967.0,True
0.03369,0.0335,0.03369,0.0335,0.0,0.0,-0.11283213267185924,-0.11283213267185924,SL,2025-11-13 04:30:00,2025-11-13 04:55:00,True,True,True,True,True,2.849578649321528,0.03369,1100503.0,True
0.03406,0.03394,0.03406,0.03394,0.0,0.0,-0.0704803125310307,-0.0704803125310307,SL,2025-11-13 13:30:00,2025-11-13 13:35:00,True,True,True,True,True,1.911706855880231,0.03406,716805.0,True
0.03411,0.03504,0.03411,0.03504,0.0,0.0,0.5453833117396696,0.5453833117396696,TP,2025-11-13 14:35:00,2025-11-13 15:05:00,True,True,True,True,True,3.516534785209787,0.03411,1166788.0,True
0.03477,0.03463,0.03477,0.03463,0.0,0.0,-0.08058620690266947,-0.08058620690266947,SL,2025-11-13 22:10:00,2025-11-13 22:15:00,True,True,True,True,True,2.001238444417765,0.03477,2166961.0,True
0.03181,0.0317,0.03181,0.0317,0.0,0.0,-0.06920403399400647,-0.06920403399400647,SL,2025-11-15 01:35:00,2025-11-15 01:40:00,True,True,True,True,True,5.0926219240210155,0.03181,1906642.0,True
0.03178,0.03168,0.03178,0.03168,0.0,0.0,-0.06296779199252366,-0.06296779199252366,SL,2025-11-15 02:40:00,2025-11-15 03:00:00,True,True,True,True,True,2.3422298926560714,0.03178,864503.0,True
0.03178,0.0317,0.03178,0.0317,0.0,0.0,-0.05037106340940092,-0.05037106340940092,SL,2025-11-15 08:00:00,2025-11-15 08:15:00,True,True,True,True,True,1.8707761952416824,0.03178,1292668.0,True
0.02665,0.02723,0.02665,0.02723,0.0,0.0,0.43546568707343153,0.43546568707343153,TP,2025-11-18 00:40:00,2025-11-18 09:50:00,True,True,True,True,True,2.074027712726052,0.02665,750573.0,True
0.02722,0.0271,0.02722,0.0271,0.0,0.0,-0.08824808302067841,-0.08824808302067841,SL,2025-11-18 14:30:00,2025-11-18 14:35:00,True,True,True,True,True,2.488950704127556,0.02722,1164982.0,True
0.02664,0.02656,0.02664,0.02656,0.0,0.0,-0.060107633243833385,-0.060107633243833385,SL,2025-11-19 09:50:00,2025-11-19 09:55:00,True,True,True,True,True,3.081826296388449,0.02664,1876504.0,True
0.02532,0.02524,0.02532,0.02524,0.0,0.0,-0.06323740827024216,-0.06323740827024216,SL,2025-11-20 00:50:00,2025-11-20 01:00:00,True,True,True,True,True,2.1226611095057404,0.02532,503180.0,True
0.02532,0.0252,0.02532,0.0252,0.0,0.0,-0.09485011833822724,-0.09485011833822724,SL,2025-11-20 02:05:00,2025-11-20 02:25:00,True,True,True,True,True,5.688479150188583,0.02532,1211848.0,True
0.02528,0.02523,0.02528,0.02523,0.0,0.0,-0.03957966370055378,-0.03957966370055378,SELL,2025-11-20 03:20:00,2025-11-20 03:30:00,True,True,True,True,True,2.6425083281473074,0.02528,360927.0,True
0.0253,0.02521,0.0253,0.02521,0.0,0.0,-0.07118425982748153,-0.07118425982748153,SL,2025-11-20 04:00:00,2025-11-20 04:20:00,True,True,True,True,True,3.1874706769844745,0.0253,818662.0,True
0.0253,0.02256,0.0253,0.02256,0.0,0.0,-2.1670110579671564,-2.1670110579671564,SL,2025-11-21 12:30:00,2025-11-21 12:35:00,True,True,True,True,True,22.987676718239776,0.0253,89850978.0,True
0.022,0.02182,0.022,0.02182,0.0,0.0,-0.16335754746029568,-0.16335754746029568,SL,2025-11-22 04:50:00,2025-11-22 05:40:00,True,True,True,True,True,0.9741732924639745,0.022,1007321.0,True
0.04461,0.04368,0.04461,0.04368,0.0,0.0,-0.4161683354465567,-0.4161683354465567,SL,2025-11-23 04:15:00,2025-11-23 04:20:00,True,True,True,True,True,2.7825800941681478,0.04461,179834683.0,True
0.04404,0.04293,0.04404,0.04293,0.0,0.0,-0.5029361594954502,-0.5029361594954502,SL,2025-11-23 05:00:00,2025-11-23 05:05:00,True,True,True,True,True,1.3590215902040506,0.04404,192416251.0,True
0.07131,0.0669,0.07131,0.0669,0.0,0.0,-1.2334068844335944,-1.2334068844335944,SL,2025-11-23 12:30:00,2025-11-23 12:35:00,True,True,True,True,True,2.4546437296232786,0.07131,153862290.0,True
0.02792,0.02873,0.02792,0.02873,0.0,0.0,0.5778968525055348,0.5778968525055348,TP,2025-11-24 00:15:00,2025-11-24 00:25:00,True,True,True,True,True,1.3585176149031524,0.02792,14766971.0,True
0.03031,0.0299,0.03031,0.0299,0.0,0.0,-0.26960662621616643,-0.26960662621616643,SL,2025-11-24 03:15:00,2025-11-24 03:20:00,True,True,True,True,True,1.31635710121701,0.03031,40897804.0,True
0.04193,0.04713,0.04193,0.04713,0.0,0.0,2.471118737072849,2.471118737072849,TP,2025-11-24 07:00:00,2025-11-24 07:05:00,True,True,True,True,True,1.7030242483959528,0.04193,140026087.0,True
0.05834,0.05794,0.05834,0.05794,0.0,0.0,-0.13695710159821914,-0.13695710159821914,SL,2025-11-24 08:45:00,2025-11-24 08:50:00,True,True,True,True,True,1.1425320573720108,0.05834,162874195.0,True
0.0579,0.06551,0.0579,0.06551,0.0,0.0,2.625049670110156,2.625049670110156,TP,2025-11-24 14:05:00,2025-11-24 14:10:00,True,True,True,True,True,0.8265817470127804,0.0579,133019725.0,True
0.06139,0.06078,0.06139,0.06078,0.0,0.0,-0.1989774006006981,-0.1989774006006981,SL,2025-11-24 20:00:00,2025-11-24 20:05:00,True,True,True,True,True,1.265152594316815,0.06139,39908532.0,True
0.06554,0.0672,0.06554,0.0672,0.0,0.0,0.5070921490482242,0.5070921490482242,TP,2025-11-24 20:40:00,2025-11-24 20:45:00,True,True,True,True,True,3.3561347358552243,0.06554,102781388.0,True
0.06476,0.0646,0.06476,0.0646,0.0,0.0,-0.04949009861504241,-0.04949009861504241,SL,2025-11-25 00:10:00,2025-11-25 00:15:00,True,True,True,True,True,1.4789421522024466,0.06476,41957614.0,True
0.07019,0.07274,0.07019,0.07274,0.0,0.0,0.7276937656616413,0.7276937656616413,TP,2025-11-25 19:00:00,2025-11-25 19:10:00,True,True,True,True,True,2.017381450544142,0.07019,23552994.0,True
0.07329,0.07289,0.07329,0.07289,0.0,0.0,-0.10939927132094444,-0.10939927132094444,SL,2025-11-25 19:50:00,2025-11-25 20:00:00,True,True,True,True,True,4.525485652788418,0.07329,97010494.0,True
0.06553,0.06499,0.06553,0.06499,0.0,0.0,-0.16516017841097203,-0.16516017841097203,SL,2025-11-25 22:55:00,2025-11-25 23:10:00,True,True,True,True,True,3.176980623116397,0.06553,119969900.0,True
0.06473,0.06374,0.06473,0.06374,0.0,0.0,-0.3064853761130463,-0.3064853761130463,SL,2025-11-26 00:20:00,2025-11-26 00:25:00,True,True,True,True,True,2.52145556657628,0.06473,49379708.0,True
0.06355,0.06338,0.06355,0.06338,0.0,0.0,-0.053589619205579024,-0.053589619205579024,SL,2025-11-26 03:35:00,2025-11-26 03:40:00,True,True,True,True,True,2.3715498822521295,0.06355,23458124.0,True
0.06348,0.06219,0.06348,0.06219,0.0,0.0,-0.4070772771038746,-0.4070772771038746,SL,2025-11-26 11:00:00,2025-11-26 11:05:00,True,True,True,True,True,2.2998130077628183,0.06348,25302683.0,True
0.06441,0.06425,0.06441,0.06425,0.0,0.0,-0.04974096507582365,-0.04974096507582365,SL,2025-11-26 15:15:00,2025-11-26 16:50:00,True,True,True,True,True,2.1009075199360288,0.06441,24591653.0,True
0.05969,0.06162,0.05969,0.06162,0.0,0.0,0.6474133891386942,0.6474133891386942,TP,2025-11-27 16:55:00,2025-11-27 17:05:00,True,True,True,True,True,2.441726061291601,0.05969,14108856.0,True
0.06045,0.05993,0.06045,0.05993,0.0,0.0,-0.1723509737790823,-0.1723509737790823,SL,2025-11-27 19:25:00,2025-11-27 20:30:00,True,True,True,True,True,1.7172207441615306,0.06045,10663126.0,True
0.06119,0.06092,0.06119,0.06092,0.0,0.0,-0.08839247416624499,-0.08839247416624499,SL,2025-11-27 22:45:00,2025-11-27 22:50:00,True,True,True,True,True,1.2218828266645632,0.06119,6211299.0,True
0.06169,0.06345,0.06169,0.06345,0.0,0.0,0.5714675160614797,0.5714675160614797,TP,2025-11-27 23:35:00,2025-11-27 23:40:00,True,True,True,True,True,2.31390979713227,0.06169,11977386.0,True
0.06343,0.06313,0.06343,0.06313,0.0,0.0,-0.09479118011909335,-0.09479118011909335,SL,2025-11-28 00:10:00,2025-11-28 00:15:00,True,True,True,True,True,1.437103075169723,0.06343,23017125.0,True
0.08088,0.0905,0.08088,0.0905,0.0,0.0,2.383604701275261,2.383604701275261,TP,2025-11-28 11:35:00,2025-11-28 11:40:00,True,True,True,True,True,2.995389391468464,0.08088,153578552.0,True
0.08014,0.07937,0.08014,0.07937,0.0,0.0,-0.1930072300882836,-0.1930072300882836,SL,2025-11-29 02:15:00,2025-11-29 02:20:00,True,True,True,True,True,1.5298277397884588,0.08014,44879510.0,True
0.08266,0.08455,0.08266,0.08455,0.0,0.0,0.45921401129946615,0.45921401129946615,TP,2025-11-29 05:50:00,2025-11-29 06:00:00,True,True,True,True,True,4.673035569418221,0.08266,64641344.0,True
0.08078,0.07963,0.08078,0.07963,0.0,0.0,-0.28604955344902416,-0.28604955344902416,SL,2025-11-29 07:45:00,2025-11-29 07:55:00,True,True,True,True,True,1.456681621866436,0.08078,89544869.0,True
0.083,0.09015,0.083,0.09015,0.0,0.0,1.7304201370703227,1.7304201370703227,TP,2025-11-29 11:35:00,2025-11-29 11:50:00,True,True,True,True,True,3.3822733262013314,0.083,197770295.0,True
0.09559,0.09381,0.09559,0.09381,0.0,0.0,-0.37469573534472816,-0.37469573534472816,SL,2025-11-29 13:55:00,2025-11-29 14:00:00,True,True,True,True,True,2.3324761955843347,0.09559,84126633.0,True
0.09983,0.09924,0.09983,0.09924,0.0,0.0,-0.11887769569121838,-0.11887769569121838,SL,2025-11-29 18:55:00,2025-11-29 19:00:00,True,True,True,True,True,4.188551635736963,0.09983,160004972.0,True
