spike_factor,avg_period,proximity,mean_profit,median_profit,mean_trades,positive_rate,cases
1.6,20,0.005,0.19728889904399685,0.21596160606264894,1.3333333333333333,1.0,6
1.6,20,0.001,0.19728889904399685,0.21596160606264894,1.3333333333333333,1.0,6
1.6,20,0.002,0.19728889904399685,0.21596160606264894,1.3333333333333333,1.0,6
1.6,10,0.002,0.18769902296601984,0.20520051649617693,1.6666666666666667,1.0,6
1.6,10,0.001,0.18769902296601984,0.20520051649617693,1.6666666666666667,1.0,6
1.6,10,0.005,0.18769902296601984,0.20520051649617693,1.6666666666666667,1.0,6
1.8,10,0.002,0.16515601432276597,0.21641358526994736,1.0,1.0,6
1.8,10,0.001,0.16515601432276597,0.21641358526994736,1.0,1.0,6
1.8,10,0.005,0.16515601432276597,0.21641358526994736,1.0,1.0,6
1.6,50,0.005,0.15927786569577995,0.16699177729310577,1.0,1.0,6
1.6,50,0.002,0.15927786569577995,0.16699177729310577,1.0,1.0,6
1.6,50,0.001,0.15927786569577995,0.16699177729310577,1.0,1.0,6
1.8,20,0.005,0.07903161818325084,0.0277629668600525,0.5,0.5,6
1.8,20,0.002,0.07903161818325084,0.0277629668600525,0.5,0.5,6
1.8,20,0.001,0.07903161818325084,0.0277629668600525,0.5,0.5,6
1.4,20,0.001,0.01569478573780238,0.0023949920446853,4.833333333333333,0.5,6
1.4,20,0.005,0.01569478573780238,0.0023949920446853,4.833333333333333,0.5,6
1.4,20,0.002,0.01569478573780238,0.0023949920446853,4.833333333333333,0.5,6
2.0,50,0.001,0.0,0.0,0.0,0.0,6
2.0,20,0.002,0.0,0.0,0.0,0.0,6
